DS100;Breite;Laenge
HK;51.851423;9.967798
EKT;50.956029;7.991696
ELAG;51.991742;8.801199
RLA;49.197741;8.126204
MLA;48.547492;12.13593
FWG;50.486368;8.267949
MWH;47.845363;11.14286
TL;49.565385;9.709512
FLAU;50.643606;9.408055
HLEE;53.23165;7.465283
HLER;52.376722;9.974599
ELE;51.362838;7.618397
NLF;50.146452;11.059472
FL;50.384119;8.062342
MLI;47.544341;9.680469
TWT;49.762025;9.513095
HL;52.196653;8.7135
FLOL;50.647936;8.70174
TLU;48.891862;9.18542
RL.RL  T;49.477987;8.433402
AL;53.867547;10.669821
ALBG.ALBGW;53.249656;10.41989
ELUE;51.617129;7.529485
FMZ;50.001117;8.25872
FMB.FMB P;49.9932258;8.35750043
EWES;51.65584;6.627134
FMFH;51.097605;9.534833
RM;49.479354;8.468921
FWBG;50.557642;7.966978
NMR;50.004596;12.082583
KMYO;50.329594;7.238939
MM;47.985581;10.186853
FW;50.070791;8.243731
EWIT;51.435544;7.329442
HM;52.290138;8.934728
KM;51.196583;6.446111
RWRT;49.045678;8.273146
HWOH.HWOL;52.159126;10.532306
MRBI;48.6065535;11.5733457
FWOR;49.63494;8.356448
MMF;48.248208;12.519638
EMLR;51.431342;6.88651
NWH;49.801796;9.93578
MH;48.140232;11.558335
MOP;48.12744;11.604971
EMST.EMSTP;51.956566;7.635715
RNZ;49.348484;9.113093
RNM;49.393678;8.788425
KW;51.254363;7.149543
NNE;50.093676;11.581061
HWUN;52.422225;9.450976
NNS;49.524326;11.61954
AN;54.075752;9.979816
SNK;49.353291;7.176655
DMBH;50.41569;12.399034
KN.KN  O.KN  W;51.204351;6.684527
RN;49.349553;8.140757
KNE;50.431466;7.473132
FND;50.411449;8.998881
KNL;50.31639;7.599503
HNBG;52.645566;9.217753
MNL;48.850841;10.497863
HNOS;52.166394;9.788881
HN;51.703139;9.986618
NN;49.445616;11.082989
FORD;49.973622;8.828961
EOB;51.474878;6.851588
NOKP;50.266389;11.932204
FWB;50.048829;8.236423
DZWM;50.715544;12.496893
RO;48.476475;7.946723
HOLD;53.144323;8.222713
DZWG;50.70392;12.498056
HO.HO  O.HO  U;52.272851;8.061781
TO;49.429657;9.422692
EPD;51.712979;8.740505
NPA;48.573632;13.450776
TPH;48.894152;8.703099
NPL;48.779619;12.86394
TP;48.71308;9.41081
HQ;52.673943;7.947819
RRA;48.860483;8.215623
ERE;51.616359;7.20349
NRH;49.011672;12.099617
KRE;50.577215;7.229779
KRL;51.190724;7.252833
AR;54.302262;9.671134
TRX;48.775121;8.93235
TRE;48.496079;9.209116
ERDW;51.857023;8.28665
HR;52.276299;7.434255
KRH;51.393507;6.706484
KRY.KRY P;51.163027;6.439564
SRO;49.276737;7.157395
MRO;47.850018;12.119202
AROG;53.112349;9.390098
TR;48.165304;8.639295
SSH;49.241065;6.991021
HSRI;52.038158;10.31483
RSD;49.39291;8.364945
FWHM;49.719105;8.09992
NSAW;49.810453;11.59566
TSG;48.801011;9.787795
TSHT;49.096732;9.767373
KAND;50.434542;7.404839
RFT;49.535567;8.349702
RHA;48.284924;8.181665
AJ;54.558782;9.405438
HLST;52.509469;9.110127
TLK;47.826167;10.015836
FMBG;50.819272;8.775014
MMH;48.044917;10.501626
TM;48.953192;8.846101
FFRH;49.710777;8.086508
HWEZ;52.298351;9.635376
